phase,url,page_depth,internal_inbound_links,internal_outbound_links,external_outbound_links,orphan,pages_over_three_clicks,broken_internal_links,redirect_chain,crawlable_html_links,issues
baseline,https://robertdevore.com/kevin-michael-geary-a-hidden-history-of-hate-racism-and-bigotry/,3,13,18,23,False,False,0,False,True,
baseline,https://robertdevore.com/leafly-reviews-wordpress-plugin/,3,8,18,9,False,False,0,False,True,
baseline,https://robertdevore.com/leap-the-code-of-extreme-leadership/,1,20,18,3,False,False,0,False,True,
baseline,https://robertdevore.com/making-up-for-lost-time/,4,7,17,2,False,True,0,False,True,more than three clicks from homepage
baseline,https://robertdevore.com/mnml-free-minimalist-wordpress-theme/,3,7,19,12,False,False,0,False,True,
baseline,https://robertdevore.com/my-brothers-keeper-sons-of-anarchy-fanfiction/,3,5,22,5,False,False,3,False,True,3 broken internal links
baseline,https://robertdevore.com/my-development-projects/,3,6,21,18,False,False,0,False,True,
baseline,https://robertdevore.com/open-source-is-anarchism-in-action/,2,7,18,2,False,False,0,False,True,
baseline,https://robertdevore.com/organized-chaos/,4,7,17,7,False,True,0,False,True,more than three clicks from homepage
baseline,https://robertdevore.com/page/10/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/page/11/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/page/12/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/page/2/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/page/3/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/page/4/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/page/5/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/page/6/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/page/7/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/page/8/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/page/9/,unreachable,0,26,8,True,False,0,False,True,orphan
baseline,https://robertdevore.com/patience/,3,5,21,3,False,False,0,False,True,
baseline,https://robertdevore.com/peddle-free-wordpress-theme-for-easy-digital-downloads/,3,6,20,17,False,False,0,False,True,
baseline,https://robertdevore.com/plan-prompt-publish-a-practical-guide-to-creating-beautifully-useful-content-with-ai/,3,16,27,2,False,False,0,False,True,
baseline,https://robertdevore.com/projects/,1,392,13,33,False,False,0,False,True,
baseline,https://robertdevore.com/projects/agents-sdk/,unreachable,0,14,3,True,False,0,False,True,orphan
baseline,https://robertdevore.com/projects/dispatch/,unreachable,0,14,3,True,False,0,False,True,orphan
baseline,https://robertdevore.com/projects/kujo/,1,13,14,4,False,False,0,False,True,
baseline,https://robertdevore.com/projects/lens/,unreachable,0,14,3,True,False,0,False,True,orphan
baseline,https://robertdevore.com/projects/sitekit/,unreachable,0,14,3,True,False,0,False,True,orphan
baseline,https://robertdevore.com/projects/ssg/,unreachable,0,14,3,True,False,0,False,True,orphan
baseline,https://robertdevore.com/release-notes-back-in-stock-notifications-for-woocommerce-free-v1-0-1/,3,6,20,3,False,False,0,False,True,
baseline,https://robertdevore.com/relentless/,3,5,18,11,False,False,0,False,True,
baseline,https://robertdevore.com/rethinking-keyword-research-in-the-age-of-ai/,3,5,18,6,False,False,0,False,True,
baseline,https://robertdevore.com/reusable-flask-error-handling-a-step-by-step-guide-to-modular-http-error-responses/,3,5,18,4,False,False,0,False,True,
baseline,https://robertdevore.com/run-a-tor-relay/,3,5,21,15,False,False,0,False,True,
baseline,https://robertdevore.com/say-goodbye-to-wordpress/,3,5,19,3,False,False,0,False,True,
baseline,https://robertdevore.com/set-featured-images-programatically-wordpress/,3,6,19,4,False,False,0,False,True,
baseline,https://robertdevore.com/slackedd/,3,6,18,15,False,False,0,False,True,
baseline,https://robertdevore.com/stattic-v0-3-0-release-llms-txt-faster-gifs-leaner-core-and-smarter-routing/,3,5,18,4,False,False,0,False,True,
baseline,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,1,150,21,14,False,False,0,False,True,
baseline,https://robertdevore.com/stop-gambling-with-client-trust-why-skipping-a-security-audit-is-a-risk-you-cant-afford/,3,5,23,2,False,False,5,False,True,5 broken internal links
baseline,https://robertdevore.com/tag/,unreachable,0,30,2,True,False,0,False,True,orphan
baseline,https://robertdevore.com/tag/ai/,2,17,25,2,False,False,0,False,True,
baseline,https://robertdevore.com/tag/archive/,unreachable,3,15,2,False,False,0,False,True,
baseline,https://robertdevore.com/tag/engineering/,2,14,22,2,False,False,0,False,True,
baseline,https://robertdevore.com/tag/essays/,5,4,13,2,False,True,0,False,True,more than three clicks from homepage
baseline,https://robertdevore.com/tag/woocommerce/,3,34,43,2,False,False,0,False,True,
baseline,https://robertdevore.com/tag/wordpress/,2,113,122,2,False,False,0,False,True,
baseline,https://robertdevore.com/thank-you-wordpress/,3,7,19,8,False,False,0,False,True,
baseline,https://robertdevore.com/the-fastest-way-for-php-devs-to-learn-python/,2,115,19,7,False,False,0,False,True,
baseline,https://robertdevore.com/the-past-present-and-future-of-wp-dispensary/,3,5,19,10,False,False,0,False,True,
baseline,https://robertdevore.com/tools-and-workflows-for-formatting-visuals-and-citations/,3,18,20,16,False,False,0,False,True,
baseline,https://robertdevore.com/twitter-marketing/,4,8,17,38,False,True,0,False,True,more than three clicks from homepage
baseline,https://robertdevore.com/two-years-building-wp-dispensary/,3,6,21,51,False,False,0,False,True,
baseline,https://robertdevore.com/use-ai-to-create-your-own-wwf-action-figure-blister-packs/,3,5,18,7,False,False,0,False,True,
baseline,https://robertdevore.com/what-makes-content-beautifully-useful/,3,6,19,2,False,False,0,False,True,
baseline,https://robertdevore.com/why-wordpress-plugin-developers-need-security-audits/,3,5,22,2,False,False,4,False,True,4 broken internal links
baseline,https://robertdevore.com/woocommerce-dispensary-details-plugin/,3,6,26,9,False,False,0,False,True,
baseline,https://robertdevore.com/wordpress-custom-post-types-code-snippets/,3,6,18,20,False,False,0,False,True,
baseline,https://robertdevore.com/wordpress-plugin-security-is-a-joke-and-youre-the-punchline/,3,5,18,3,False,False,0,False,True,
baseline,https://robertdevore.com/wordpress-woocommerce-plugins-i-will-no-longer-maintain/,2,7,25,78,False,False,1,False,True,1 broken internal links
baseline,https://robertdevore.com/wp-dispensary-v2/,3,7,23,12,False,False,0,False,True,
baseline,https://robertdevore.com/wp-dispensary/,3,12,18,10,False,False,0,False,True,
baseline,https://robertdevore.com/wp-townhall-13-the-debate-kevin-geary-doesnt-want-you-to-see/,2,5,21,5,False,False,1,False,True,1 broken internal links
baseline,https://robertdevore.com/wtf-is-wordpress/,3,7,20,36,False,False,1,False,True,1 broken internal links
baseline,https://robertdevore.com/zero-cool-cli-a-hackers-terminal-from-1995/,1,54,18,6,False,False,0,False,True,
after,https://robertdevore.com/,0,319,26,8,False,False,0,False,True,
after,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,2,6,18,13,False,False,0,False,True,
after,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,3,6,19,2,False,False,0,False,True,
after,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,3,5,18,26,False,False,0,False,True,
after,https://robertdevore.com/7-days-full-time-wp-dispensary/,3,6,21,17,False,False,0,False,True,
after,https://robertdevore.com/about/,1,348,15,2,False,False,0,False,True,
after,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,3,6,19,16,False,False,0,False,True,
after,https://robertdevore.com/back-to-basics/,3,5,20,9,False,False,0,False,True,
after,https://robertdevore.com/blog/,1,499,54,2,False,False,0,False,True,
after,https://robertdevore.com/blog/page/10/,3,6,57,2,False,False,0,False,True,
after,https://robertdevore.com/blog/page/11/,3,5,56,2,False,False,0,False,True,
after,https://robertdevore.com/blog/page/12/,2,12,36,2,False,False,0,False,True,
after,https://robertdevore.com/blog/page/2/,2,5,56,2,False,False,0,False,True,
after,https://robertdevore.com/blog/page/3/,2,6,57,2,False,False,0,False,True,
after,https://robertdevore.com/blog/page/4/,3,6,58,2,False,False,0,False,True,
after,https://robertdevore.com/blog/page/5/,3,6,58,2,False,False,0,False,True,
after,https://robertdevore.com/blog/page/6/,4,6,58,2,False,True,0,False,True,more than three clicks from homepage
after,https://robertdevore.com/blog/page/7/,4,6,58,2,False,True,0,False,True,more than three clicks from homepage
after,https://robertdevore.com/blog/page/8/,4,6,58,2,False,True,0,False,True,more than three clicks from homepage
after,https://robertdevore.com/blog/page/9/,4,6,58,2,False,True,0,False,True,more than three clicks from homepage
after,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,3,5,19,12,False,False,0,False,True,
after,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,3,5,18,24,False,False,0,False,True,
after,https://robertdevore.com/cannabis-health-benefits/,3,5,18,27,False,False,0,False,True,
